Feature,Importance
num__Team_Size,0.12303873454345524
num__Funding_per_Employee,0.08949769804622557
num__Funding_Amount,0.0835270954122323
num__Burn_Rate,0.06747267747957311
num__Burn_Ratio,0.0636345367178012
num__Number_of_Customers,0.06335829093748888
num__Founder_Experience_Score,0.06199991659397513
num__Customer_Growth_Percentage,0.055271287604265765
num__Customer_Retention,0.05423761039801909
num__Revenue_Growth,0.05225631713441203
num__Founder_Experience,0.04962392569281536
num__Customer_Rating,0.04657206210157017
num__Registration_Year,0.03433784869709575
num__Number_of_Founders,0.02292057481786774
cat__Investor_Type_Bootstrapped,0.02128512648792169
cat__Competition_Level_High,0.019247223923433962
num__Patent_Count,0.015683610325185653
cat__Investor_Type_VC,0.011927703167400385
cat__Industry_SaaS,0.010303917956208844
cat__Market_Size_Medium,0.008902596314752232
cat__Market_Size_Small,0.006773159090379871
cat__Competition_Level_Low,0.005244667182407426
cat__Competition_Level_Medium,0.005170066673584539
cat__Industry_CleanTech,0.0050537650670831715
cat__Industry_HealthTech,0.004972435275620318
cat__Investor_Type_Angel,0.004495301239492692
cat__Industry_AgriTech,0.004316345746424174
cat__Market_Size_Large,0.002883872366243971
cat__Industry_EdTech,0.0025018759783915993
cat__Industry_E-Commerce,0.002396533656008292
cat__Industry_FinTech,0.001093223372663778
