funding_millions,employees,founders_experience_years,market_size_millions,product_stage,has_revenue,success
77.42,808,13,63.0,Scale,No,1
43.94,737,6,458.8,Growth,Yes,1
85.87,559,5,129.9,Scale,No,1
69.77,886,8,153.17,Scale,No,1
9.51,130,14,632.65,Growth,No,1
97.56,921,6,393.53,MVP,Yes,1
76.14,850,22,921.93,Growth,Yes,1
78.63,504,11,319.84,MVP,Yes,1
12.9,733,21,726.45,Growth,No,1
45.09,521,17,461.64,Scale,No,1
37.14,270,8,660.29,MVP,Yes,1
92.68,800,5,600.1,Growth,Yes,1
64.42,247,18,473.31,Idea,No,1
82.29,315,8,950.11,Growth,No,1
44.4,520,6,343.37,MVP,No,1
22.8,837,23,178.06,MVP,Yes,1
55.5,385,12,678.42,Growth,No,1
6.48,495,1,846.16,Idea,Yes,1
82.78,43,12,41.21,Growth,Yes,1
63.2,117,11,450.18,Growth,Yes,1
75.83,57,21,892.6,MVP,Yes,1
35.52,73,17,749.87,Idea,No,1
97.07,868,4,991.82,MVP,Yes,1
89.32,842,3,531.88,Idea,No,1
77.86,822,15,660.34,MVP,No,1
19.54,57,1,303.18,Growth,No,1
46.73,79,7,947.59,Idea,No,0
4.48,282,3,366.97,Growth,No,1
15.51,566,0,738.77,Idea,No,1
68.34,335,22,403.74,Scale,No,1
74.5,488,2,562.26,Growth,No,1
96.75,174,0,720.06,MVP,No,1
32.65,731,23,509.43,Growth,No,1
37.11,315,4,907.18,Idea,Yes,1
47.01,68,20,419.88,Idea,No,1
19.03,743,0,647.42,Scale,No,1
13.08,902,3,343.02,Scale,No,1
47.62,16,2,408.75,Idea,No,0
22.77,437,17,440.61,MVP,Yes,1
67.01,827,15,126.68,Idea,Yes,1
43.77,706,11,92.63,MVP,Yes,1
83.28,856,6,667.82,MVP,Yes,1
70.06,416,2,655.86,MVP,No,1
31.31,373,14,663.25,Growth,Yes,1
83.24,709,5,20.75,Idea,No,0
80.5,155,14,327.22,Scale,Yes,1
38.81,240,17,198.61,Growth,No,1
28.9,601,21,778.37,Scale,Yes,1
68.28,669,12,860.77,Idea,No,1
14.06,121,0,247.43,Growth,Yes,1
20.07,509,7,668.18,Scale,No,1
0.84,366,21,130.23,Idea,Yes,1
78.71,502,13,275.88,Scale,Yes,1
66.52,958,15,139.52,MVP,Yes,1
70.55,78,11,284.24,Scale,No,1
78.09,995,4,675.06,MVP,No,1
45.95,450,22,910.42,Scale,Yes,1
56.92,772,19,203.32,Idea,No,1
14.07,425,24,542.54,MVP,No,1
